[W&B] https://wandb.ai/ctrjmtz-georgia-institute-of-technology/nafnet-sidd/runs/o4imtr5b
[Data] train batches=3826  val batches=1280
[Model] type = variant_a

============================================================
  Starting training: nafnet_sidd_variant_a
  Epochs : 15  |  Val every 5 epochs  |  Save every 5 epochs
============================================================

[BaselineNAFNet] Checkpoint saved: results/nafnet_sidd_variant_a/checkpoints/epoch_0010.pth
  [Epoch  11/15  iter  38400]  loss=-42.62631
  [Epoch  11/15  iter  38600]  loss=-42.51424
  [Epoch  11/15  iter  38800]  loss=-42.50458
  [Epoch  11/15  iter  39000]  loss=-42.49297
  [Epoch  11/15  iter  39200]  loss=-42.47237
  [Epoch  11/15  iter  39400]  loss=-42.46670
  [Epoch  11/15  iter  39600]  loss=-42.47395
  [Epoch  11/15  iter  39800]  loss=-42.45852
  [Epoch  11/15  iter  40000]  loss=-42.47230
  [Epoch  11/15  iter  40200]  loss=-42.47869
  [Epoch  11/15  iter  40400]  loss=-42.49130
  [Epoch  11/15  iter  40600]  loss=-42.48483
  [Epoch  11/15  iter  40800]  loss=-42.50079
  [Epoch  11/15  iter  41000]  loss=-42.50850
  [Epoch  11/15  iter  41200]  loss=-42.52174
  [Epoch  11/15  iter  41400]  loss=-42.52367
  [Epoch  11/15  iter  41600]  loss=-42.52813
  [Epoch  11/15  iter  41800]  loss=-42.52778
  [Epoch  11/15  iter  42000]  loss=-42.53026
  Epoch  11 done  avg_loss=-42.53420  time=764.4s
  [Epoch  12/15  iter  42200]  loss=-42.93276
  [Epoch  12/15  iter  42400]  loss=-42.80096
  [Epoch  12/15  iter  42600]  loss=-42.66669
  [Epoch  12/15  iter  42800]  loss=-42.62789
  [Epoch  12/15  iter  43000]  loss=-42.65884
  [Epoch  12/15  iter  43200]  loss=-42.66333
  [Epoch  12/15  iter  43400]  loss=-42.64180
  [Epoch  12/15  iter  43600]  loss=-42.63102
  [Epoch  12/15  iter  43800]  loss=-42.63106
  [Epoch  12/15  iter  44000]  loss=-42.63587
  [Epoch  12/15  iter  44200]  loss=-42.62635
  [Epoch  12/15  iter  44400]  loss=-42.62378
  [Epoch  12/15  iter  44600]  loss=-42.62514
  [Epoch  12/15  iter  44800]  loss=-42.62477
  [Epoch  12/15  iter  45000]  loss=-42.63810
  [Epoch  12/15  iter  45200]  loss=-42.63405
  [Epoch  12/15  iter  45400]  loss=-42.63422
  [Epoch  12/15  iter  45600]  loss=-42.63672
  [Epoch  12/15  iter  45800]  loss=-42.63689
  Epoch  12 done  avg_loss=-42.64147  time=803.5s
  [Epoch  13/15  iter  46000]  loss=-42.83073
  [Epoch  13/15  iter  46200]  loss=-42.62487
  [Epoch  13/15  iter  46400]  loss=-42.64891
  [Epoch  13/15  iter  46600]  loss=-42.66492
  [Epoch  13/15  iter  46800]  loss=-42.66831
  [Epoch  13/15  iter  47000]  loss=-42.67477
  [Epoch  13/15  iter  47200]  loss=-42.69670
  [Epoch  13/15  iter  47400]  loss=-42.71792
  [Epoch  13/15  iter  47600]  loss=-42.70085
  [Epoch  13/15  iter  47800]  loss=-42.69149
  [Epoch  13/15  iter  48000]  loss=-42.70634
  [Epoch  13/15  iter  48200]  loss=-42.70308
  [Epoch  13/15  iter  48400]  loss=-42.69892
  [Epoch  13/15  iter  48600]  loss=-42.68436
  [Epoch  13/15  iter  48800]  loss=-42.70531
  [Epoch  13/15  iter  49000]  loss=-42.71179
  [Epoch  13/15  iter  49200]  loss=-42.70549
  [Epoch  13/15  iter  49400]  loss=-42.70465
  [Epoch  13/15  iter  49600]  loss=-42.71076
  Epoch  13 done  avg_loss=-42.72239  time=752.9s
  [Epoch  14/15  iter  49800]  loss=-42.78171
  [Epoch  14/15  iter  50000]  loss=-42.63492
  [Epoch  14/15  iter  50200]  loss=-42.68805
  [Epoch  14/15  iter  50400]  loss=-42.69987
  [Epoch  14/15  iter  50600]  loss=-42.72808
  [Epoch  14/15  iter  50800]  loss=-42.77254
  [Epoch  14/15  iter  51000]  loss=-42.76940
  [Epoch  14/15  iter  51200]  loss=-42.75489
  [Epoch  14/15  iter  51400]  loss=-42.75222
  [Epoch  14/15  iter  51600]  loss=-42.74796
  [Epoch  14/15  iter  51800]  loss=-42.75767
  [Epoch  14/15  iter  52000]  loss=-42.77083
  [Epoch  14/15  iter  52200]  loss=-42.77329
  [Epoch  14/15  iter  52400]  loss=-42.76451
  [Epoch  14/15  iter  52600]  loss=-42.76842
  [Epoch  14/15  iter  52800]  loss=-42.77058
  [Epoch  14/15  iter  53000]  loss=-42.77186
  [Epoch  14/15  iter  53200]  loss=-42.77711
  [Epoch  14/15  iter  53400]  loss=-42.76738
  Epoch  14 done  avg_loss=-42.77746  time=776.9s
  [Epoch  15/15  iter  53600]  loss=-42.85350
  [Epoch  15/15  iter  53800]  loss=-42.72986
  [Epoch  15/15  iter  54000]  loss=-42.86440
  [Epoch  15/15  iter  54200]  loss=-42.79227
  [Epoch  15/15  iter  54400]  loss=-42.78544
  [Epoch  15/15  iter  54600]  loss=-42.80265
  [Epoch  15/15  iter  54800]  loss=-42.81588
  [Epoch  15/15  iter  55000]  loss=-42.81042
  [Epoch  15/15  iter  55200]  loss=-42.80941
  [Epoch  15/15  iter  55400]  loss=-42.81077
  [Epoch  15/15  iter  55600]  loss=-42.79083
  [Epoch  15/15  iter  55800]  loss=-42.79022
  [Epoch  15/15  iter  56000]  loss=-42.79000
  [Epoch  15/15  iter  56200]  loss=-42.78878
  [Epoch  15/15  iter  56400]  loss=-42.80000
  [Epoch  15/15  iter  56600]  loss=-42.79197
  [Epoch  15/15  iter  56800]  loss=-42.78474
  [Epoch  15/15  iter  57000]  loss=-42.78494
  [Epoch  15/15  iter  57200]  loss=-42.79104
  Epoch  15 done  avg_loss=-42.80220  time=759.2s
  >>> Val   PSNR=39.64 dB  SSIM=0.9225
[BaselineNAFNet] Checkpoint saved: results/nafnet_sidd_variant_a/checkpoints/epoch_0015.pth
[BaselineNAFNet] Checkpoint saved: results/nafnet_sidd_variant_a/checkpoints/latest.pth
